	Player,	Cost,	Sel,	Form,	PTS
	"
Hause
AVLDEF"	4.4	0.2%	0.0	17
	"
Webster
BHADEF"	4.4	0.2%	1.8	17
	"
Aké
MCIDEF"	4.7	0.4%	0.6	17
	"
Ritchie
NEWDEF"	4.9	0.2%	1.0	17
	"
Cathcart
WATDEF"	4.3	0.1%	0.8	17
	"
Nakamba
AVLMID"	4.5	0.2%	1.2	16
	"
Tomkins
CRYDEF"	4.3	0.1%	3.0	16
	"
Telles
MUNDEF"	5.0	0.9%	3.0	16
	"
Dalot
MUNDEF"	4.5	2.6%	2.8	16
	"
Williams
NORDEF"	3.9	5.1%	2.4	16
	5.7	0.3%	0.0	16	
	"
Bachmann
WATGKP"	4.2	2.0%	1.6	16
	"
Femenía
WATDEF"	4.3	0.1%	1.6	16
	"
Burn
BHADEF"	4.4	0.0%	0.5	15
	"
Collins
BURDEF"	4.3	0.1%	1.8	15
	"
Shackleton
LEEMID"	4.4	0.1%	0.0	15
	"
Schär
NEWDEF"	4.3	0.2%	3.0	15
	"
Kabak
NORDEF"	4.4	0.1%	0.4	15
	"
Troost-Ekong
WATDEF"	4.3	0.1%	0.6	15
	"
Welbeck
BHAFWD"	5.9	0.1%	0.0	14
	"
Rodriguez
BURFWD"	5.2	0.5%	1.0	14
	"
Albrighton
LEIMID"	5.2	0.1%	0.8	14
	"
Forshaw
LEEMID"	4.5	0.0%	2.0	14
	"
Origi
LIVFWD"	4.8	1.4%	1.6	14
	"
Omobamidele
NORDEF"	3.9	3.8%	0.2	14
	"
Rupp
NORMID"	4.4	0.3%	1.2	14
	"
Tuanzebe
AVLDEF"	4.4	0.4%	0.2	13
	"
Cork
BURMID"	4.4	0.1%	1.5	13
	"
Mina
EVEDEF"	4.9	0.3%	0.2	13
	"
Gelhardt
LEEFWD"	4.5	1.5%	1.6	13
	"
van de Beek
MUNMID"	5.7	0.3%	2.2	13
	"
Martial
MUNFWD"	7.6	0.6%	0.4	13
	"
Clark
NEWDEF"	4.4	0.1%	-0.2	13
	"
Romero
TOTDEF"	4.9	0.2%	0.0	13
	"
Maitland-Niles
ARSMID"	5.2	0.1%	0.2	12
